catégorie	propriété CSS	valeur
Couleur et fond	background	#e2e8f0
Boîte	border-radius	0.75rem
Disposition	overflow	hidden
Disposition	height	100%
Animation et transition	transition	width 0.3s ease
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	flex-end
Boîte	padding-right	0.5rem
Typographie	font-size	0.75rem
Typographie	font-weight	600
Couleur et fond	color	white
Couleur et fond	background	linear-gradient(90deg, #48bb78, #38a169)
Couleur et fond	background	linear-gradient(90deg, #ed8936, #dd6b20)
Couleur et fond	background	linear-gradient(90deg, #f56565, #e53e3e)
Disposition	display	flex
Disposition	gap	2rem
Typographie	font-size	0.9rem
Couleur et fond	color	#718096
Boîte	margin-top	1rem
Typographie	text-align	center
Boîte	padding	4rem 2rem
Couleur et fond	background	white
Boîte	border-radius	16px
Effets visuels	box-shadow	0 4px 6px rgba(0, 0, 0, 0.1)
Typographie	font-size	1.1rem
Couleur et fond	color	#4a5568
Boîte	margin-bottom	1rem
Couleur et fond	background	#edf2f7
Boîte	padding	0.25rem 0.5rem
Boîte	border-radius	4px
Typographie	font-family	'Courier New', monospace
Couleur et fond	color	#2d3748
Typographie	font-size	1rem
Couleur et fond	color	#4a5568
Boîte	margin	0
Disposition	min-width	2560px) { .container { max-width: 1600px
Disposition	min-width	3840px) { .container { max-width: 1800px
Disposition	max-width	768px) { .main { padding: 1rem
Typographie	font-size	1.8rem
Disposition	grid-template-columns	1fr
Disposition	grid-template-columns	1fr
Disposition	gap	1rem
Disposition	gap	0.5rem
Typographie	font-size	0.8rem
Boîte	padding	0.4rem 0.8rem
Disposition	gap	0.375rem
Typographie	font-size	0.75rem
Typographie	font-size	0.9rem
Disposition	min-width	1.125rem
Disposition	min-height	1.125rem
Disposition	position	fixed !important
Autre	z-index	2147483647 !important
Couleur et fond	background	white
Boîte	border	1px solid #e2e8f0
Boîte	border-radius	8px
Effets visuels	box-shadow	0 10px 40px rgba(0, 0, 0, 0.15), 0 4px 6px rgba(0, 0, 0, 0.1)
Typographie	font-size	14px
Typographie	line-height	1.5
Disposition	max-width	600px
Disposition	min-width	280px
Autre	pointer-events	auto
Effets visuels	opacity	1
Animation et transition	transform	scale(1)
Animation et transition	transition	opacity 0.2s ease, transform 0.2s ease
Autre	will-change	opacity, transform
Boîte	padding	1rem
Boîte	box-sizing	border-box
Couleur et fond	color	#374151
Animation et transition	transform-origin	bottom center
Animation et transition	transform-origin	top center
Animation et transition	transform-origin	right center
Animation et transition	transform-origin	left center
Autre	infobulle	:before { content: ''
Disposition	position	absolute
Disposition	width	0
Disposition	height	0
Boîte	border	6px solid transparent
Autre	infobulleHaut	:before { bottom: -12px
Disposition	left	50%
Animation et transition	transform	translateX(-50%)
Boîte	border-top-color	white
Autre	infobulleBas	:before { top: -12px
Disposition	left	50%
Animation et transition	transform	translateX(-50%)
Boîte	border-bottom-color	white
Autre	infobulleGauche	:before { right: -12px
Disposition	top	50%
Animation et transition	transform	translateY(-50%)
Boîte	border-left-color	white
Autre	infobulleDroite	:before { left: -12px
Disposition	top	50%
Animation et transition	transform	translateY(-50%)
Boîte	border-right-color	white
Boîte	margin	0 0 0.5rem 0
Typographie	font-size	1rem
Typographie	font-weight	600
Couleur et fond	color	#1f2937
Boîte	margin	0 0 0.75rem 0
Typographie	line-height	1.6
Autre	p	last-child { margin-bottom: 0
Typographie	font-weight	600
Couleur et fond	color	#111827
Typographie	font-style	italic
Couleur et fond	color	#6b7280
Disposition	width	100%
Boîte	border-collapse	collapse
Boîte	margin	0.5rem 0
Typographie	font-size	0.9em
Boîte	padding	0.5rem
Typographie	text-align	left
Boîte	border-bottom	1px solid #f3f4f6
Typographie	font-weight	600
Couleur et fond	background	#f9fafb
Couleur et fond	color	#374151
Typographie	font-size	0.85rem
Typographie	text-transform	uppercase
Typographie	letter-spacing	0.025em
Autre	tr	last-child td { border-bottom: none
Disposition	display	inline-block
Boîte	padding	0.125rem 0.5rem
Boîte	border-radius	9999px
Typographie	font-size	0.75rem
Typographie	font-weight	500
Typographie	text-transform	uppercase
Typographie	letter-spacing	0.025em
Couleur et fond	background	#d1fae5
Couleur et fond	color	#065f46
Couleur et fond	background	#fef3c7
Couleur et fond	color	#92400e
Couleur et fond	background	#fed7aa
Couleur et fond	color	#c2410c
Couleur et fond	background	#fecaca
Couleur et fond	color	#dc2626
Disposition	max-width	768px) { .infobulle { max-width: calc(100vw - 32px)
Disposition	min-width	280px
Boîte	margin	16px
Boîte	padding	0.875rem
Typographie	font-size	14px
Typographie	font-size	0.95rem
Typographie	font-size	0.85rem
Boîte	padding	0.375rem 0.25rem
Disposition	max-width	480px) { .infobulle { max-width: calc(100vw - 16px)
Disposition	min-width	260px
Boîte	padding	0.75rem
Typographie	font-size	13px
Animation et transition	animation	infobulleFadeIn 0.2s ease-out
Effets visuels	opacity	0
Animation et transition	transform	scale(0.95)
Effets visuels	opacity	1
Animation et transition	transform	scale(1)
Autre	infobulle	focus-within { outline: 2px solid #3b82f6
Boîte	outline-offset	2px
Autre	z-index	inherit
Animation et transition	transform	translateZ(0)
Autre	backface-visibility	hidden
Disposition	display	none
